"","Position","Year","Team"
"468",8,"1931","University"
"481",1,"1932","South Sydney"
"482",2,"1932","Western Suburbs"
"483",3,"1932","Eastern Sydney"
"484",4,"1932","Balmain"
"485",5,"1932","Newtown"
"486",6,"1932","St George"
"487",7,"1932","North Sydney"
"488",8,"1932","University"
"501",1,"1933","Newtown"
"502",2,"1933","Eastern Sydney"
"503",3,"1933","South Sydney"
"504",4,"1933","St George"
"505",5,"1933","Balmain"
"506",6,"1933","North Sydney"
"507",7,"1933","University"
"508",8,"1933","Western Suburbs"
"521",1,"1934","Western Suburbs"
"522",2,"1934","Eastern Sydney"
"523",3,"1934","St George"
"524",4,"1934","South Sydney"
"525",5,"1934","Newtown"
"526",6,"1934","North Sydney"
"527",7,"1934","Balmain"
"528",8,"1934","University"
"541",1,"1935","Eastern Sydney"
"542",2,"1935","South Sydney"
"543",3,"1935","Western Suburbs"
"544",4,"1935","North Sydney"
"545",5,"1935","Balmain"
"546",6,"1935","Newtown"
"547",7,"1935","St George"
"548",8,"1935","Canterbury"
"549",9,"1935","University"
"561",1,"1936","Eastern Sydney"
"562",2,"1936","Balmain"
"563",3,"1936","Canterbury"
"564",4,"1936","North Sydney"
"565",5,"1936","Newtown"
"566",6,"1936","Western Suburbs"
"567",7,"1936","South Sydney"
"568",8,"1936","St George"
"569",9,"1936","University"
"581",1,"1937","Eastern Sydney"
"582",2,"1937","St George"
"583",3,"1937","South Sydney"
"584",4,"1937","Balmain"
"585",5,"1937","Canterbury"
"586",6,"1937","Newtown"
"587",7,"1937","North Sydney"
"588",8,"1937","Western Suburbs"
"589",9,"1937","University"
"601",1,"1938","Canterbury"
"602",2,"1938","South Sydney"
"603",3,"1938","Balmain"
"604",4,"1938","Eastern Sydney"
"605",5,"1938","North Sydney"
"606",6,"1938","Newtown"
"607",7,"1938","Western Suburbs"
"608",8,"1938","St George"
"621",1,"1939","Balmain"
"622",2,"1939","Canterbury"
"623",3,"1939","St George"
"624",4,"1939","South Sydney"
"625",5,"1939","Eastern Sydney"
"626",6,"1939","North Sydney"
