model,condition,f_stat,p_value,rsquared,rsquared_adj,rsquared_pred
"['UNIT', 'Weekend', 'Hour', 'fog']",633.55598702879536,282.59666181693603,0.0,0.51247681897526154,0.51066336224268616,0.50767400890100267
"['UNIT', 'Weekend', 'Hour', 'meantempi']",37272.331375143833,282.8121097044131,0.0,0.51266722253376729,0.51085447405185258,0.50786811345086691
"['UNIT', 'Weekend', 'rain', 'fog']",653.2884880794935,211.71131752890403,0.0,0.42920880113746362,0.42718147068509482,0.42349419441726543
"['UNIT', 'Weekend', 'rain', 'meantempi']",37150.535182559295,211.85772154454551,0.0,0.42937816701526621,0.42735143811492271,0.42366787570287201
"['UNIT', 'Weekend', 'fog', 'meantempi']",37150.202236388592,211.67413132433455,0.0,0.42916576667246575,0.42713828337071602,0.4234519295530691
"['UNIT', 'Hour', 'rain', 'fog']",644.36640944745534,269.95273507474519,0.0,0.50103596581889087,0.49917995215160882,0.49607772571557729
"['UNIT', 'Hour', 'rain', 'meantempi']",37272.389007505131,270.34019795185009,0.0,0.50139453115851573,0.49953985125905132,0.49644270768678278
"['UNIT', 'Hour', 'fog', 'meantempi']",37272.099253500353,270.56747872248741,0.0,0.50160462129598149,0.49975072287602218,0.49665464056327135
"['UNIT', 'rain', 'fog', 'meantempi']",37150.276309211382,203.05086812762343,0.0,0.41900797982579241,0.41694441819865158,0.4131600468512151
"['Weekend', 'Hour', 'rain', 'fog']",22.391408577199201,779.8207023983507,0.0,0.13321567947560342,0.13304485087479057,0.13294995187808178
"['Weekend', 'Hour', 'rain', 'meantempi']",1265.8408993071419,781.42440317574267,0.0,0.13345307690283392,0.13328229508905831,0.13319067124916983
"['Weekend', 'Hour', 'fog', 'meantempi']",1265.2671415062052,779.3578956997718,0.0,0.13314714555081875,0.13297630344312283,0.13288359502458924
"['Weekend', 'rain', 'fog', 'meantempi']",662.50099219648371,431.32060610324703,0.0,0.012906904109254547,0.012876979955558698,0.012837972110059548
"['Hour', 'rain', 'fog', 'meantempi']",1265.7775160882281,687.18204764149198,0.0,0.11927796100850696,0.11910438551796865,0.1190081101776802
"['UNIT', 'Weekend', 'Hour', 'rain', 'fog']",667.76511459573544,282.27609208623721,0.0,0.51270554698728166,0.51088922048510432,0.50789766885854049
"['UNIT', 'Weekend', 'Hour', 'rain', 'meantempi']",37272.803724325167,282.48426890272066,0.0,0.51288973169417318,0.51107409171646245,0.50808594592841971
"['UNIT', 'Weekend', 'Hour', 'fog', 'meantempi']",37272.521931339827,282.24442370775495,0.0,0.51267751614191037,0.51086108515841366,0.50787042530351334
"['UNIT', 'Weekend', 'rain', 'fog', 'meantempi']",37150.674347392865,211.48969118361401,0.0,0.42947812891540638,0.42744740048362417,0.42375980478398845
"['UNIT', 'Hour', 'rain', 'fog', 'meantempi']",37272.595016569561,270.06589646565584,0.0,0.50165336384659176,0.49979584177360248,0.49669673549281712
"['Weekend', 'Hour', 'rain', 'fog', 'meantempi']",1266.0868880555508,753.3060036393515,0.0,0.13358045400071972,0.1334031283809114,0.13330415541445328
"['UNIT', 'Weekend', 'Hour', 'rain', 'fog', 'meantempi']",37273.013080331344,282.05055938198507,0.0,0.5130171019786951,0.51119821850226166,0.50820694585820747
